A03AA09;difemeriin;
A03AB;Sünteetilised antikolinergilised ained - kvaternaarsed ammooniumiühendid;
A03AB01;bensilooniumbromiid;
A03AB02;glükopürroonium;
A03AB03;oksüfenooniumbromiid;
A03AB05;propanteliinbromiid;
A03AB06;otilooniumbromiid;
A03AB07;metanteliiniumbromiid;
A03AB08;tridiheksetüüljodiid;
A03AB09;isopropamiidjodiid;
A03AB10;heksotsükliummetüülsulfaat;
A03AB11;poldiinmetüülsulfaat;
A03AB12;mepensolaatbromiid;
A03AB13;bevoonium metüülsulfaat;
A03AB14;pipensolaatbromiid;
A03AB15;difemaniilmetüülsulfaat;
A03AB17;tiemooniumjodiid;
A03AB18;prifiiniumbromiid;
A03AB19;timepiidiumbromiid;
A03AB21;fenpiveriinbromiid;
A03AC;Sünteetilised spasmolüütikumid - tertsiaarsete amiinidega amiidid;
A03AC05;tiropramiid;
A03AD;Papaveriin ja selle derivaadid;
A03AD01;papaveriinvesinikkloriid;
A03AD02;drotaveriin;
A03AD30;moksaveriin;
A03AE;Serotoniiniretseptori antagonistid;
A03AX;Teised gastrointestinaaltrakti funktsionaalsete häirete raviks kasutatavad aine;
A03AX01;fenpipraan;
A03AX02;diisopromiin;
A03AX03;kloorbensoksamiin;
A03AX04;pinaveeriumbromiid;
A03AX05;fenoveriin;
A03AX07;proksasool;
A03AX08;alveriin;
A03AX09;trepibutoon;
A03AX10;isometepteen;
A03AX11;karoveriin;
A03AX13;simetikoon;
A03AX15;piparmündiõli;
A03AX82;alveriin+simetikoon;
A03B;BELLADONNA ALKALOIDID JA NENDE DERIVAADID;
A03BA;Belladonna alkaloidid - tertsiaarsed amiinid;
A03BA01;atropiin;
A03BA03;hüosküamiin;
A03BA04;belladonnaekstrakt;
A03BB;Belladonna alkaloidid - poolsünteetilised kvaternaarsed ammooniumiühendid;
A03BB01;hüostsiinbutüülbromiid;
A03BB02;atropiinmetonitraat;
A03BB04;fentooniumbromiid;
A03BB05;tsimetroopiumbromiid;
A03C;SPASMOLÜÜTIKUMIDE KOMBINATSIOONID  PSÜHHOLEPTIKUMIDEGA;
A03CA;Sünteetiliste antikolinergiliste ainete kombinatsioonid psühholeptikumidega;
A03CA02;klidiiniumbromiid+kloordiasepoksiid;
A03CB;Belladonna alkaloidide ja derivaatide kombinatsioonid psühholeptikumidega;
A03CB80;belladonnaekstrakt+ergotamiin+fenobarbitaal;
A03CC;Teiste spasmolüütikumide kombinatsioonid psühholeptikumidega;
A03D;SPASMOLÜÜTIKUMIDE KOMBINATSIOONID ANALGEETIKUMIDEGA;
A03DA;Sünteetiliste antikolinergiliste ainete kombinatsioonid analgeetikumidega;
A03DA80;pitofenoon+naatriummetamisool+fenipiveriin;
A03DB;Belladonna alkaloidide ja derivaatide kombinatsioonid analgeetikumidega;
A03DB04;hüostsiinbutüülbromiid+paratsetamool;
A03DC;Teiste spasmolüütikumide kombinatsioonid analgeetikumidega;
A03E;SPASMOLÜÜTIKUMIDE JA ANTIKOLINERGILISTE AINETE KOMBINATSIOONID TEISTE AINETEGA;
A03EA;Spasmolüütikumide, psühholeptikumide ja analgeetikumide kombinatsioonid;
A03ED;Spasmolüütikumide kombinatsioonid teiste ainetega;
A03F;SOOLE MOTOORIKAT KIIRENDAVAD AINED;
A03FA;Soole motoorikat kiirendavad ained;
A03FA01;metoklopramiid;
A03FA02;tsisapriid;
A03FA03;domperidoon;
A03FA04;bromopriid;
A03FA05;alisapriid;
A03FA06;klebopriid;
A03FA07;itopriid;
A04;OKSENDAMIS- JA IIVELDUSVASTASED AINED;
A04A;OKSENDAMIS- JA IIVELDUSVASTASED AINED;
A04AA;Serotoniini (5-HT3) antagonistid;
A04AA01;ondansetroon;
